customer_id,account_age_days,total_spend,support_calls,churned
0,132,166.9926276522867,14,0
1,465,469.25939572706534,2,0
2,890,3489.400546127669,7,1
3,300,2718.296747644369,15,0
4,136,3774.562672402862,9,0
5,101,4574.51218606245,3,0
6,730,2967.2327083948126,17,1
7,50,3657.9921359520554,1,0
8,644,3809.697890008034,16,0
9,151,1951.4676914513534,12,0
10,496,1281.315678415196,3,0
11,244,1104.7221096819721,10,0
12,360,1332.0679536078123,6,0
13,488,1446.185805426953,11,1
14,117,1115.4154801394766,9,0
15,402,4403.281270648042,6,1
16,129,3809.2957476439205,12,1
17,901,329.7926921769776,6,0
18,693,1416.495161924006,16,1
19,160,208.705235948478,9,0
20,691,2541.0094145648754,9,0
21,338,2433.4324142661694,3,0
22,799,4173.720301306256,19,0
23,373,1608.1084748781423,3,0
24,521,4100.290102544005,6,0
25,443,4843.071450655133,0,0
26,835,533.2002944916683,11,0
27,415,3979.907413401201,12,0
28,221,2990.7838959744167,9,0
29,985,2452.225238390528,14,0
30,306,2160.625315458868,12,0
31,190,3944.874493327117,8,1
32,489,3232.8706491737876,8,0
33,343,4044.718870844873,14,1
34,51,4525.440187515469,9,0
35,282,3124.592189276731,9,0
36,777,4904.267352952652,7,0
37,886,3079.6304627552377,15,0
38,590,3219.5571759491845,16,0
39,504,2818.596481856906,4,1
40,88,545.9102461515183,3,0
41,540,3659.3454599861184,17,1
42,711,2782.4869038056468,18,1
43,505,2309.4611923389116,3,1
44,729,4561.309264176038,6,1
45,812,1560.0013125555572,9,0
46,219,2665.6511524735547,17,0
47,987,3518.44517031797,18,0
48,716,4002.7117008019986,3,0
49,987,2350.799358936245,9,0
50,592,4226.247933591677,0,1
51,905,3867.6969324454476,17,0
52,596,424.5562914741427,4,0
53,273,324.72020538270147,14,0
54,861,3141.9478536682473,16,0
55,534,1802.3257003045296,2,0
56,160,1124.7408762847194,11,1
57,514,2940.2846789115183,1,0
58,848,1773.6597312370707,0,0
59,676,2732.590741898943,16,0
60,50,2354.583879019503,15,0
